"Ref_Date","index","year","GDPGrowth","GDP","relGDP","index2","labcomp","emp","rel_labcomp","cpi","rel_labcomp_real","rel_labcomp_real_pc"
Jan 2001,1.0163290775989,2001,0.0164305508555957,222.271,1,1.03850092219661,0.499483691826945,2332.6,1,93.4,1,1
Feb 2001,1.00023909935584,2001,0.0164305508555957,222.271,1,1.02147766875973,0.504920873072608,2336.8,1.01088560314307,95.7,0.986590546850184,0.984817318376728
Mar 2001,1.00288284695734,2001,0.0164305508555957,222.271,1,1.02427476299837,0.51261018508772,2341.3,1.02628012380697,95.6,1.00266279878212,0.998937019792074
Apr 2001,1.00940036651826,2001,0.0164305508555957,222.271,1,1.03117032156217,0.517643686833036,2347.4,1.03635753339547,95.7,1.01145029905054,1.00507325873958
May 2001,1.00987013038555,2001,0.0164305508555957,222.271,1,1.03166733338205,0.524076568138499,2352,1.04923659513607,99.2,0.98789010066239,0.97974168741713
Jun 2001,1.00455288976845,2001,0.0164305508555957,222.271,1,1.02604167415229,0.524616881847419,2356.8,1.05031833958091,99.5,0.985926963988511,0.975803307959776
Jul 2001,0.993540548351699,2001,0.0164305508555957,222.271,1,1.01439057829381,0.526912025395187,2362.5,1.0549133715816,97.9,1.00642399290829,0.993686605654125
Aug 2001,0.995061909547093,2001,0.0164305508555957,222.271,1,1.01600018377661,0.528459570249159,2368.5,1.05801166063346,97.8,1.0104119540201,0.995096864660027
Sep 2001,0.984405973699625,2001,0.0164305508555957,222.271,1,1.00472616626097,0.529664843207574,2374,1.06042469829242,98.6,1.00449966349404,0.986982272563689
Oct 2001,0.990127989070162,2001,0.0164305508555957,222.271,1,1.01078007860013,0.531817403971043,2379,1.0647342699535,97.4,1.02100801656732,1.001094283079
Nov 2001,0.99999859290595,2001,0.0164305508555957,222.271,1,1.02122321209187,0.534299698862772,2384,1.06970399155272,93.9,1.0640080171568,1.0410675758473
Dec 2001,0.994509480860254,2001,0.0164305508555957,222.271,1,1.0154157122876,0.534292743605001,2388.5,1.0696900666581,95.4,1.04726469838435,1.02275471444477
Jan 2002,1.00002201441786,2002,0.02290897148076,227.363,1.02290897148076,1.02124799213366,0.541381981604295,2394.7,1.08388319871686,96.7,1.04689442357967,1.01974607777256
Feb 2002,0.993624566566465,2002,0.02290897148076,227.363,1.02290897148076,1.01447946985983,0.535588068848237,2399.4,1.07228339505787,97.2,1.03036285080664,1.00167724672483
Mar 2002,1.00337223725008,2002,0.02290897148076,227.363,1.02290897148076,1.02479253964524,0.536589168384463,2404.6,1.07428766377096,97.5,1.02911249021752,0.998298176279371
Apr 2002,1.0132322431647,2002,0.02290897148076,227.363,1.02290897148076,1.03522446049921,0.540359284162359,2411.4,1.08183568954154,99,1.02064094346647,0.987288324097984
May 2002,1.018845713909,2002,0.02290897148076,227.363,1.02290897148076,1.04116353224294,0.544029189318427,2416.9,1.08918308689629,99.4,1.02343762893474,0.987740747756705
Jun 2002,1.017987731891,2002,0.02290897148076,227.363,1.02290897148076,1.04025578425745,0.543307123741973,2422.5,1.08773746296848,99.9,1.01696375416673,0.979223798955342
Jul 2002,1.0136018754218,2002,0.02290897148076,227.363,1.02290897148076,1.03561553272417,0.543807353202163,2429,1.08873895604699,99.9,1.01790008503292,0.977502568278215
Aug 2002,1.01843835044897,2002,0.02290897148076,227.363,1.02290897148076,1.04073254027289,0.544835633153625,2433.2,1.09079764178245,100.1,1.0177872102146,0.975707071571004
Sep 2002,1.02449462890251,2002,0.02290897148076,227.363,1.02290897148076,1.04714010412671,0.547055733130709,2438.4,1.09524243149914,101.4,1.00883277220927,0.96506041849382
Oct 2002,1.02704111121972,2002,0.02290897148076,227.363,1.02290897148076,1.04983429135329,0.551812214280344,2442.1,1.1047652271929,102.5,1.00668363141285,0.961545488978178
